<0.0000e+00 0.0000e+00>
<420615.71468213893 208648.71332442714>
<424472.286633501 211728.45230863593>
<428335.10527799156 214832.29049164007>
<432204.030651782 217960.2134071834>
<436078.923795123 221112.20617836484>
<439959.646742234 224288.2535398573>
<443846.06251082354 227488.33985976112>
<447738.03509125015 230712.44916108935>
<451635.42943533236 233960.56514288182>
<455538.1114448168 237232.67120094504>
<459445.94795951305 240528.75044821537>
<463358.8067451036 243848.78573474303>
<467276.55648063816 247192.75966729448>
<471199.06674571946 250560.65462857138>
<475126.20800739 253952.45279604357>
<479057.851606727 257368.13616039464>
<482993.8697451537 260807.68654357828>
<486934.13547047536 264271.0856164834>
<490878.5226626469 267758.31491620705>
<494826.9060192804 271269.3558629331>
<498779.1610408997 274804.189776416>
<502735.16401594953 278362.79789206776>
<506694.79200556624 281945.1613766475>
<510657.9228281174 285551.26134355186>
<514624.4350435175 289181.078867706>
<518594.20793732617 292834.5950000535>
<522567.12150463596 296511.79078164476>
<526543.0564337565 300212.6472573222>
<530521.8940897014 303937.145489003>
<534503.5164974841 307685.2665685563>
<538487.8063252302 311456.9916302765>
<542474.6468671107 315252.3018629496>
<546463.9220261044 319071.17852151365>
<550455.5162965935 322913.6029383113>
<554449.3147468002 326779.55653393455>
<558445.2030010697 330669.0208276602>
<562443.0672220045 334581.97744747595>
<566442.7940924573 338518.4081396957>
<570444.2707973873 342478.29477816384>
<574447.3850055865 346461.6193730473>
<578452.0248512804 350468.364079215>
<582458.0789156093 354498.51120420307>
<586465.4362079968 358552.043215766>
<590473.9861474093 362628.9427490119>
<594483.6185435132 366729.1926131215>
<598494.2235777349 370852.7757976494>
<602505.691784229 374999.6754784076>
<606517.9140307608 379169.87502292864>
<610530.7814995074 383363.3579955091>
<614544.1856677848 387580.10816183087>
<618558.0182887036 391820.10949315963>
<622572.1713717625 396083.3461701198>
<626586.5371633815 400369.802586044>
<630601.0081273831 404679.4633498957>
<634615.4769254256 409012.313288765>
<638629.8363973952 413368.33744993445>
<642643.9795417613 417747.5211025148>
<646657.7994959019 422149.8497386491>
<650671.1895164048 426575.3090742831>
<654684.0429593496 431023.8850495015>
<658696.2532605777 435495.56382842734>
<662707.7139159556 439990.33179868443>
<666718.3184616376 444508.17557042005>
<670727.9604543343 449049.0819748874>
<674736.5334515936 453613.03806258546>
<678743.9309921 458200.03110095527>
<682750.046575999 462810.04857163114>
<686754.7736452534 467443.0781672445>
<690758.0055640378 472099.10778777994>
<694759.6355991793 476778.1255364811>
<698759.5569006494 481480.11971530534>
<702757.662482117 486205.0788199256>
<706753.8452015662 490952.99153427803>
<710747.9977419913 495723.846724654>
<714740.0125921704 500517.6334333354>
<718729.7820275313 505334.34087177116>
<722717.1980911132 510173.95841329504>
<726702.1525746349 515036.4755853823>
<730684.5369996752 519921.88206144486>
<734664.2425989775 524830.1676521637>
<738641.1602978827 529761.3222963576>
<742615.1806959027 534715.3360513882>
<746586.1940484409 539692.1990830986>
<750554.0902486708 544691.9016552875>
<754518.7588095791 549714.4341187167>
<758480.0888461858 554759.7868996524>
<762437.9690579484 559827.9504879394>
<766392.2877113607 564918.9154246093>
<770342.9326227558 570032.6722890218>
<774289.7911413239 575169.2116855398>
<778232.7501323547 580328.5242297396>
<782171.6959607136 585510.6005341548>
<786106.5144745641 590715.4311935575>
<790037.0909893459 595943.0067697755>
<793963.3102720189 601193.3177760487>
<797885.0565255854 606466.3546609245>
<801802.2133739007 611762.1077916963>
<805714.6638467836 617080.5674373843>
<809622.2903654369 622421.7237512635>
<813524.9747281923 627785.56675294>
<817422.5980965873 633172.0863099792>
<821315.0409817894 638581.2721190883>
<825202.1832313767 644013.1136868574>
<829083.9040164892 649467.6003100625>
<832960.0818193599 654944.7210555349>
<836830.594421241 660444.4647396005>
<840695.3188907341 665966.8199070952>
<844554.1315725396 671511.7748099598>
<848406.9080766349 677079.3173854221>
<852253.523267896 682669.4352337689>
<856093.8512561732 688282.115595718>
<859927.7653868337 693917.345329393>
<863755.138231784 699575.1108869102>
<867575.8415809837 705255.3982905846>
<871389.7464344635 710958.1931087618>
<875196.7229948597 716683.4804312855>
<878996.6406604768 722431.2448446071>
<882789.3680188919 728201.4704065489>
<886574.7728411113 733994.1406207281>
<890352.7220762924 739809.2384106524>
<894123.0818470427 745646.7460934976>
<897885.7174453075 751506.645353578>
<901640.4933288586 757388.9172155194>
<905387.2731183941 763293.5420171481>
<909125.9195952625 769220.4993821068>
<912856.2946998216 775169.7681922101>
<916578.2595304423 781141.3265595522>
<920291.6743431696 787135.1517983805>
<923996.3985520501 793151.2203967492>
<927692.2907301374 799189.5079879657>
<931379.2086111838 805249.9893218458>
<935057.0090920306 811332.6382357924>
<938725.5482357035 817437.4276257126>
<942384.6812752243 823564.3294167896>
<946034.262618147 829713.3145341257>
<949674.1458518263 835884.352873273>
<953304.1837494274 842077.4132706684>
<956924.2282766841 848292.4634739917>
<960534.1305994119 854529.4701124631>
<964133.7410917847 860788.3986670993>
<967722.9093453792 867069.2134409468>
<971301.4841789949 873371.8775293108>
<974869.3136492531 879696.3527899997>
<978426.2450619815 886042.5998136044>
<981972.1249843877 892410.5778938318>
<985506.7992580262 898800.2449979143>
<989030.1130125613 905211.5577371143>
<992541.9106803293 911644.4713373446>
<996042.0360117018 918098.9396099272>
<999530.332091252 924574.9149225099>
<1003006.6413547244 931072.3481701629>
<1006470.805606809 937591.1887466776>
<1009922.6660397182 944131.384516089>
<1013362.063252568 950692.8817844427>
<1016788.8372715589 957275.625271831>
<1020202.8275709564 963879.558084718>
<1023603.8730948676 970504.6216885764>
<1026991.8122798094 977150.7558808606>
<1030366.4830780654 983817.8987643352>
<1033727.7229818257 990505.9867207839>
<1037075.3690481035 997214.9543851196>
<1040409.2579244229 1003944.7346199197>
<1043729.2258752706 1010695.2584904074>
<1047035.1088093033 1017466.4552399021>
<1050326.7423073025 1024258.2522657614>
<1053603.9616508672 1031070.5750958348>
<1056866.6018518351 1037903.3473654544>
<1060114.4976824208 1044756.4907949809>
<1063347.48370606 1051629.925167928>
<1066565.3943089487 1058523.5683096864>
<1069768.0637322606 1065437.3360668682>
<1072955.3261050363 1072371.142287292>
<1076127.0154777216 1079324.8988006301>
<1079282.9658563468 1086298.515399736>
<1082423.0112373284 1093291.8998226735>
<1085546.9856428772 1100304.957735467>
<1088654.7231569958 1107337.592715589>
<1091746.0579620495 1114389.7062362074>
<1094820.82437589 1121461.1976512056>
