<5.7900e+10 0.0000e+00>
<2.782939705115693E10 5.023070683789485E10>
<2.676499517724E10 5.08009472765739E10>
<2.5688871156836113E10 5.1348938500788E10>
<2.4601493893667126E10 5.187443570201187E10>
<2.3503337563194233E10 5.2377204119369385E10>
<2.2394881390316322E10 5.285701915970675E10>
<2.1276609424067303E10 5.331366651245031E10>
<2.0149010309447178E10 5.374694225916349E10>
<1.901257705652443E10 5.415665297772122E10>
<1.786780680695002E10 5.454261584102435E10>
<1.6715200598025911E10 5.490465871018085E10>
<1.5555263124473326E10 5.5242620222084656E10>
<1.4388502498048342E10 5.555634987132771E10>
<1.3215430005154474E10 5.584570808638497E10>
<1.2036559862603834E10 5.61105663000168E10>
<1.085240897168029E10 5.635080701383791E10>
<9.663496670659645E9 5.6566323857006516E10>
<8.470344485943305E9 5.675702163899222E10>
<7.273475881963222E9 5.692281639638599E10>
<6.07341601001697E9 5.706363543372039E10>
<4.870691456192783E9 5.717941735827313E10>
<3.6658299885451345E9 5.7270112108831894E10>
<2.459360303681997E9 5.733568097840344E10>
<1.2518117729253826E9 5.737609663085492E10>
<4.371418820693207E7 5.739134311148013E10>
<-1.1644024921395965E9 5.738141585148881E10>
<-2.3720083975272245E9 5.7346321666421524E10>
<-3.5785739990446377E9 5.728607874849822E10>
<-4.783570363004135E9 5.720071665291297E10>
<-5.986469403948391E9 5.709027627809258E10>
<-7.186744136956602E9 5.6954809839941696E10>
<-8.383868929091619E9 5.679438084010158E10>
<-9.577319749830812E9 5.660906402825486E10>
<-1.0766574420324802E10 5.639894535851299E10>
<-1.1951112861329662E10 5.616412193992804E10>
<-1.3130417339659895E10 5.5904701981174866E10>
<-1.4303972713011318E10 5.5620804729454414E10>
<-1.547126667300496E10 5.5312560403673195E10>
<-1.6631789986305218E10 5.498011012195837E10>
<-1.778503673366783E10 5.462360582357219E10>
<-1.893050454677558E10 5.424321018529372E10>
<-2.0067694842722286E10 5.3839096532339615E10>
<-2.119611305600828E10 5.341144874390008E10>
<-2.2315268867913406E10 5.2960461153369484E10>
<-2.342467643311651E10 5.248633844335527E10>
<-2.4523854603433475E10 5.198929553555205E10>
