<2.2790e+11 0.0000e+00>
<2.1890241807857202E11 6.303007039805138E10>
<2.187337608967797E11 6.360877357908944E10>
<2.185635693242162E11 6.418703056886572E10>
<2.18391844531594E11 6.47648373042063E10>
<2.182185877003576E11 6.534218972495383E10>
<2.18043800022676E11 6.5919083773995766E10>
<2.17867482701435E11 6.649551539729259E10>
<2.1768963695022964E11 6.707148054390597E10>
<2.1751026399335654E11 6.764697516602696E10>
<2.173293650658059E11 6.822199521900414E10>
<2.1714694141325388E11 6.879653666137177E10>
<2.1696299429205438E11 6.937059545487785E10>
<2.1677752496923123E11 6.994416756451234E10>
<2.1659053472247003E11 7.051724895853511E10>
<2.1640202484010995E11 7.108983560850407E10>
<2.1621199662113556E11 7.166192348930324E10>
<2.1602045137516846E11 7.223350857917068E10>
<2.1582739042245892E11 7.280458685972664E10>
<2.1563281509387747E11 7.337515431600139E10>
<2.154367267309063E11 7.394520693646329E10>
<2.1523912668563074E11 7.45147407130467E10>
<2.1504001632073044E11 7.508375164117996E10>
<2.1483939700947086E11 7.56522357198132E10>
<2.1463727013569424E11 7.622018895144629E10>
<2.1443363709381082E11 7.678760734215671E10>
<2.142284992887899E11 7.735448690162738E10>
<2.1402185813615067E11 7.792082364317448E10>
<2.1381371506195328E11 7.848661358377527E10>
<2.1360407150278958E11 7.905185274409584E10>
<2.1339292890577383E11 7.96165371485189E10>
<2.1318028872853345E11 8.018066282517152E10>
<2.129661524391996E11 8.074422580595284E10>
<2.1275052151639764E11 8.130722212656174E10>
<2.1253339744923782E11 8.186964782652455E10>
<2.123147817373054E11 8.243149894922267E10>
<2.1209467589065106E11 8.299277154192024E10>
<2.1187308142978128E11 8.355346165579169E10>
<2.1164999988564835E11 8.411356534594934E10>
<2.114254327996405E11 8.4673078671471E10>
<2.1119938172357202E11 8.523199769542743E10>
<2.109718482196731E11 8.579031848490993E10>
<2.107428338605798E11 8.634803711105775E10>
<2.1051234022932388E11 8.690514964908563E10>
<2.1028036891932248E11 8.746165217831117E10>
<2.100469215343678E11 8.80175407821823E10>
<2.0981199968861673E11 8.857281154830463E10>
<2.0957560500658038E11 8.912746056846884E10>
<2.0933773912311356E11 8.968148393867802E10>
<2.0909840368340405E11 9.023487775917497E10>
<2.0885760034296207E11 9.078763813446951E10>
<2.086153307676094E11 9.133976117336572E10>
<2.083715966334687E11 9.189124298898921E10>
<2.0812639962695236E11 9.244207969881432E10>
<2.0787974144475183E11 9.299226742469128E10>
<2.0763162379382635E11 9.354180229287344E10>
<2.0738204839139197E11 9.409068043404434E10>
<2.0713101696491028E11 9.463889798334483E10>
<2.068785312520772E11 9.518645108040019E10>
<2.0662459300081165E11 9.573333586934715E10>
<2.0636920396924414E11 9.627954849886092E10>
<2.0611236592570532E11 9.682508512218217E10>
<2.0585408064871445E11 9.73699418971441E10>
<2.055943499269677E11 9.791411498619926E10>
<2.0533317555932663E11 9.845760055644655E10>
<2.0507055935480627E11 9.900039477965805E10>
<2.0480650313256342E11 9.954249383230595E10>
<2.045410087218847E11 1.0008389389558936E11>
<2.0427407796217462E11 1.0062459115546104E11>
<2.040057127029435E11 1.011645818026543E11>
<2.0373591480379544E11 1.0170386203270964E11>
<2.0346468613441605E11 1.0224242804600156E11>
<2.0319202857456024E11 1.0278027604776515E11>
<2.0291794401403998E11 1.0331740224812285E11>
<2.026424343527118E11 1.03853802862111E11>
<2.023655015004644E11 1.0438947410970644E11>
<2.020871473772061E11 1.0492441221585316E11>
<2.0180737391285226E11 1.0545861341048878E11>
<2.0152618304731265E11 1.0599207392857104E11>
<2.012435767304786E11 1.0652479001010432E11>
<2.0095955692221033E11 1.0705675790016608E11>
<2.0067412559232397E11 1.0758797384893323E11>
<2.0038728472057864E11 1.081184341117086E11>
<2.000990362966635E11 1.0864813494894722E11>
<1.9980938232018457E11 1.0917707262628268E11>
<1.9951832480065164E11 1.097052434145534E11>
<1.9922586575746503E11 1.1023264358982893E11>
<1.9893200721990225E11 1.1075926943343611E11>
<1.986367512271047E11 1.112851172319853E11>
<1.9834009982806427E11 1.1181018327739659E11>
<1.9804205508160968E11 1.1233446386692584E11>
<1.977426190563931E11 1.1285795530319086E11>
<1.974417938308764E11 1.1338065389419739E11>
<1.9713958149331744E11 1.139025559533652E11>
<1.9683598414175632E11 1.1442365779955408E11>
<1.9653100388400153E11 1.1494395575708975E11>
<1.9622464283761606E11 1.1546344615578987E11>
<1.9591690312990338E11 1.1598212533098987E11>
<1.9560778689789334E11 1.1649998962356885E11>
<1.952972962883282E11 1.1701703537997539E11>
<1.949854334576482E11 1.1753325895225336E11>
<1.946722005719776E11 1.1804865669806766E11>
<1.9435759980711008E11 1.1856322498072997E11>
<1.940416333484945E11 1.190769601692244E11>
<1.9372430339122043E11 1.195898586382332E11>
<1.9340561214000348E11 1.2010191676816235E11>
<1.930855618091709E11 1.2061313094516713E11>
<1.9276415462264676E11 1.2112349756117767E11>
<1.9244139281393726E11 1.216330130139245E11>
<1.9211727862611594E11 1.2214167370696399E11>
<1.9179181431180884E11 1.226494760497038E11>
<1.9146500213317944E11 1.231564164574283E11>
<1.911368443619138E11 1.2366249135132391E11>
<1.9080734327920532E11 1.2416769715850446E11>
<1.904765011757398E11 1.2467203031203644E11>
<1.9014432035168005E11 1.2517548725096431E11>
<1.8981080311665067E11 1.2567806442033568E11>
<1.8947595178972275E11 1.2617975827122652E11>
<1.8913976869939844E11 1.2668056526076628E11>
<1.8880225618359537E11 1.2718048185216302E11>
<1.884634165896313E11 1.2767950451472847E11>
<1.8812325227420825E11 1.2817762972390303E11>
<1.8778176560339713E11 1.286748539612808E11>
<1.8743895895262167E11 1.2917117371463455E11>
<1.8709483470664285E11 1.2966658547794057E11>
<1.867493952595429E11 1.301610857514036E11>
<1.8640264301470938E11 1.3065467104148166E11>
<1.8605458038481915E11 1.3114733786091083E11>
<1.8570520979182236E11 1.3163908272873001E11>
<1.8535453366692618E11 1.3212990217030566E11>
<1.850025544505787E11 1.3261979271735648E11>
<1.8464927459245264E11 1.3310875090797798E11>
<1.842946965514289E11 1.3359677328666719E11>
<1.8393882279558026E11 1.3408385640434714E11>
<1.8358165580215488E11 1.345699968183914E11>
<1.8322319805755972E11 1.3505519109264857E11>
<1.8286345205734396E11 1.3553943579746669E11>
<1.8250242030618234E11 1.3602272750971765E11>
<1.8214010531785837E11 1.3650506281282158E11>
<1.817765096152476E11 1.3698643829677109E11>
<1.8141163573030066E11 1.3746685055815558E11>
<1.810454862040264E11 1.3794629620018552E11>
