<1.4960e+11 0.0000e+00>
<1.24710523037624E10 1.4889789265018118E11>
<1.1727667212096703E10 1.489591738545451E11>
<1.0983990638146297E10 1.4901675263052408E11>
<1.0240041071362928E10 1.4907062761339706E11>
<9.495837007370384E9 1.4912079753126886E11>
<8.751396947493586E9 1.4916726120509564E11>
<8.006739398287592E9 1.4921001754870834E11>
<7.261882871066534E9 1.4924906556883328E11>
<6.516845881432493E9 1.492844043651106E11>
<5.77164694880434E9 1.4931603313011017E11>
<5.02630459594654E9 1.4934395114934497E11>
<4.280837348497941E9 1.4936815780128226E11>
<3.535263734500564E9 1.4938865255735202E11>
<2.7896022839283953E9 1.4940543498195325E11>
<2.0438715282162054E9 1.494185047324576E11>
<1.298089999788402E9 1.494278615592108E11>
<5.522762315879323E8 1.4943350530553122E11>
<-1.9355124339475405E8 1.4943543590770667E11>
<-9.393738925926672E8 1.494336533949881E11>
<-1.685173184333151E9 1.494281578895813E11>
<-2.430930588308658E9 1.4941894960663602E11>
<-3.1766275760474095E9 1.494060288542326E11>
<-3.9222456213839297E9 1.4938939603336636E11>
<-4.6677662009294405E9 1.493690516379293E11>
<-5.413170794542104E9 1.4934499625468958E11>
<-6.158440885797098E9 1.493172305632686E11>
<-6.903557962456518E9 1.4928575533611545E11>
<-7.648503516939082E9 1.4925057143847913E11>
<-8.393259046789634E9 1.4921167982837823E11>
<-9.137806055148432E9 1.491690815565683E11>
<-9.882126051220203E9 1.4912277776650668E11>
<-1.062620055074296E10 1.490727696943151E11>
<-1.137001107645656E10 1.4901905866873956E11>
<-1.2113539158570992E10 1.489616461111082E11>
<-1.2856766335234386E10 1.4890053353528635E11>
<-1.3599674153000738E10 1.4883572254762955E11>
<-1.4342244167297306E10 1.4876721484693387E11>
<-1.5084457942891706E10 1.48695012224384E11>
<-1.5826297054358671E10 1.486191165634989E11>
<-1.656774308654646E10 1.4853952984007495E11>
<-1.7308777635042915E10 1.484562541221269E11>
<-1.804938230664115E10 1.4836929156982626E11>
<-1.878953871980485E10 1.4827864443543744E11>
<-1.952922850513318E10 1.4818431506325128E11>
<-2.026843330582527E10 1.4808630588951648E11>
<-2.100713477814433E10 1.4798461944236844E11>
<-2.174531459188125E10 1.4787925834175583E11>
<-2.2482954430817833E10 1.477702252993647E11>
<-2.3220035993189526E10 1.4765752311854028E11>
<-2.395654099214769E10 1.4754115469420648E11>
<-2.469245115622139E10 1.4742112301278278E11>
<-2.542774822977869E10 1.47297431152099E11>
<-2.616241397348743E10 1.4717008228130762E11>
<-2.68964301647755E10 1.4703907966079376E11>
<-2.762977859829057E10 1.4690442664208276E11>
<-2.8362441086359264E10 1.4676612666774548E11>
<-2.9094399459445812E10 1.466241832713012E11>
<-2.9825635566610092E10 1.464786000771182E11>
<-3.055613127596511E10 1.4632938080031198E11>
<-3.1285868475133896E10 1.4617652924664124E11>
<-3.2014829071705765E10 1.4602004931240137E11>
<-3.2742994993691982E10 1.4585994498431573E11>
<-3.34703481899808E10 1.456962203394246E11>
<-3.4196870630791832E10 1.455288795449717E11>
<-3.492254430812978E10 1.4535792685828867E11>
<-3.564735123623752E10 1.4518336662667682E11>
<-3.637127345204844E10 1.4500520328728696E11>
<-3.709429301563819E10 1.4482344136699673E11>
<-3.781639201067564E10 1.4463808548228574E11>
<-3.853755254487314E10 1.444491403391082E11>
<-3.92577567504361E10 1.4425661073276355E11>
<-3.9976986784511765E10 1.440605015477647E11>
<-4.069522482963731E10 1.4386081775770392E11>
<-4.141245309418709E10 1.436575644251164E11>
<-4.212865381281919E10 1.434507467013418E11>
<-4.284380924692114E10 1.432403698263833E11>
<-4.355790168505486E10 1.4302643912876453E11>
<-4.427091344340077E10 1.4280896002538412E11>
<-4.4982826866201096E10 1.4258793802136807E11>
<-4.569362432620233E10 1.4236337870991992E11>
<-4.640328822509687E10 1.4213528777216858E11>
<-4.711180099396375E10 1.4190367097701404E11>
<-4.781914509370857E10 1.416685341809707E11>
<-4.852530301550248E10 1.414298833280087E11>
<-4.92302572812203E10 1.411877244493927E11>
<-4.993399044387777E10 1.4094206366351886E11>
<-5.063648508806782E10 1.406929071757492E11>
<-5.133772383039595E10 1.4044026127824414E11>
<-5.203768931991467E10 1.401841323497925E11>
<-5.273636423855699E10 1.3992452685563956E11>
<-5.343373130156894E10 1.3966145134731277E11>
<-5.412977325794112E10 1.393949124624454E11>
<-5.482447289083927E10 1.3912491692459793E11>
<-5.551781301803387E10 1.3885147154307736E11>
<-5.620977649232865E10 1.385745832127542E11>
<-5.690034620198821E10 1.3829425891387753E11>
<-5.7589505071164505E10 1.3801050571188763E11>
<-5.827723606032233E10 1.377233307572268E11>
<-5.8963522166663765E10 1.3743274128514766E11>
<-5.964834642455156E10 1.3713874461551965E11>
<-6.033169190593143E10 1.3684134815263322E11>
<-6.101354172075325E10 1.3654055938500195E11>
<-6.169387901739124E10 1.362363858851625E11>
<-6.2372686983062965E10 1.3592883530947256E11>
<-6.3049948844247215E10 1.3561791539790662E11>
<-6.372564786710085E10 1.3530363397384962E11>
<-6.439976735787443E10 1.3498599894388861E11>
<-6.5072290663326706E10 1.3466501829760222E11>
<-6.574320117113802E10 1.343407001073481E11>
<-6.641248231032247E10 1.3401305252804834E11>
<-6.7080117551638916E10 1.3368208379697272E11>
<-6.7746090408000824E10 1.3334780223352E11>
<-6.84103844348849E10 1.3301021623899712E11>
<-6.907298323073853E10 1.3266933429639633E11>
<-6.973387043738593E10 1.3232516497017038E11>
<-7.039302974043324E10 1.3197771690600557E11>
<-7.105044486967221E10 1.3162699883059285E11>
<-7.17060995994827E10 1.312730195513969E11>
<-7.235997774923395E10 1.3091578795642317E11>
<-7.301206318368459E10 1.30555313013983E11>
<-7.366233981338129E10 1.3019160377245665E11>
<-7.431079159505624E10 1.2982466936005441E11>
<-7.495740253202328E10 1.2945451898457574E11>
<-7.56021566745727E10 1.2908116193316643E11>
<-7.624503812036473E10 1.2870460757207375E11>
<-7.688603101482182E10 1.2832486534639973E11>
<-7.752511955151944E10 1.2794194477985252E11>
<-7.816228797257556E10 1.2755585547449567E11>
<-7.879752056903886E10 1.271666071104956E11>
<-7.943080168127554E10 1.2677420944586716E11>
<-8.006211569935469E10 1.2637867231621718E11>
<-8.069144706343237E10 1.2598000563448622E11>
<-8.13187802641343E10 1.255782193906884E11>
<-8.194409984293703E10 1.2517332365164926E11>
<-8.256739039254787E10 1.2476532856074187E11>
<-8.318863655728328E10 1.2435424433762096E11>
<-8.380782303344588E10 1.2394008127795526E11>
<-8.44249345697E10 1.2352284975315796E11>
<-8.50399559674458E10 1.2310256021011531E11>
<-8.565287208119196E10 1.226792231709134E11>
<-8.626366781892685E10 1.222528492325631E11>
<-8.687232814248825E10 1.2182344906672316E11>
<-8.747883806793164E10 1.2139103341942157E11>
<-8.80831826658969E10 1.2095561311077504E11>
<-8.868534706197357E10 1.2051719903470668E11>
<-8.928531643706465E10 1.2007580215866197E11>
<-8.988307602774876E10 1.1963143352332289E11>
<-9.047861112664088E10 1.1918410424232025E11>
<-9.107190708275153E10 1.1873382550194435E11>
<-9.166294930184431E10 1.1828060856085382E11>
<-9.225172324679213E10 1.1782446474978271E11>
<-9.283821443793156E10 1.173654054712459E11>
<-9.34224084534159E10 1.1690344219924269E11>
<-9.400429092956645E10 1.1643858647895882E11>
<-9.458384756122241E10 1.159708499264666E11>
<-9.516106410208897E10 1.1550024422842348E11>
<-9.573592636508397E10 1.1502678114176884E11>
<-9.630842022268283E10 1.1455047249341919E11>
<-9.687853160726198E10 1.1407133017996156E11>
<-9.744624651144054E10 1.1358936616734537E11>
<-9.801155098842047E10 1.1310459249057253E11>
<-9.857443115232503E10 1.1261702125338596E11>
<-9.913487317853558E10 1.1212666462795647E11>
<-9.96928633040268E10 1.1163353485456796E11>
<-1.002483878277001E11 1.1113764424130106E11>
<-1.0080143311071558E11 1.1063900516371509E11>
<-1.0135198557682202E11 1.1013763006452852E11>
<-1.0190003171268549E11 1.0963353145329774E11>
<-1.0244555806821603E11 1.091267219060943E11>
<-1.0298855125689279E11 1.0861721406518054E11>
<-1.0352899795608733E11 1.0810502063868372E11>
<-1.0406688490738527E11 1.0759015440026851E11>
<-1.0460219891690625E11 1.0707262818880801E11>
<-1.0513492685562212E11 1.0655245490805319E11>
<-1.0566505565967334E11 1.0602964752630083E11>
<-1.0619257233068378E11 1.0550421907605989E11>
<-1.067174639360736E11 1.0497618265371648E11>
<-1.0723971760937047E11 1.0444555141919719E11>
<-1.0775932055051907E11 1.0391233859563107E11>
<-1.0827626002618867E11 1.0337655746901006E11>
