<1.0820e+11 0.0000e+00>
<3.960580585630153E10 1.0018963592103535E11>
<3.878650443922933E10 1.0050748381301105E11>
<3.79646309671435E10 1.0081866656581549E11>
<3.7140239802159515E10 1.0112316317142087E11>
<3.631338548112552E10 1.0142095306751305E11>
<3.548412271192996E10 1.0171201613899551E11>
<3.465250636979553E10 1.0199633271946204E11>
<3.381859149355958E10 1.0227388359263794E11>
<3.298243328194137E10 1.0254464999379001E11>
<3.2144087089796368E10 1.0280861361110474E11>
<3.1303608424357937E10 1.0306575658703479E11>
<3.046105294146661E10 1.033160615196137E11>
<2.9616476441787323E10 1.0355951146373842E11>
<2.876993486701481E10 1.0379608993241997E11>
<2.792148429606751E10 1.0402578089800162E11>
<2.707118094127022E10 1.042485687933449E11>
<2.621908114452582E10 1.04464438512983E11>
<2.5365241373476315E10 1.0467337541424176E11>
<2.4509718217653522E10 1.0487536531832777E11>
<2.3652568384619705E10 1.0507039451138383E11>
<2.2793848696098373E10 1.0525844974551144E11>
<2.193361608409563E10 1.0543951823976031E11>
<2.1071927587012306E10 1.0561358768108478E11>
<2.020884034574719E10 1.05780646225267E11>
<1.9344411599791645E10 1.059406824978069E11>
<1.847869868331596E10 1.060936855947787E11>
<1.7611759021247623E10 1.0623964508365407E11>
<1.674365012534195E10 1.063785510040916E11>
<1.5874429590245262E10 1.065103938686928E11>
<1.500415508955099E10 1.0663516466372423E11>
<1.4132884371848938E10 1.0675285484980603E11>
<1.326067525676809E10 1.0686345636256647E11>
<1.2387585631013176E10 1.069669616132626E11>
<1.1513673444395395E10 1.0706336348936699E11>
<1.0638996705857513E10 1.071526553551203E11>
<9.763613479493711E9 1.0723483105204985E11>
<8.887581880564459E9 1.0730988489945398E11>
<8.010960071506718E9 1.0737781169485219E11>
<7.133806257939809E9 1.0743860671440102E11>
<6.256178684667227E9 1.0749226571327556E11>
<5.378135631674729E9 1.0753878492601672E11>
<4.499735410125007E9 1.0757816106684395E11>
<3.6210363583492393E9 1.076103913299336E11>
<2.742096837835862E9 1.0763547338966278E11>
<1.8629752292168455E9 1.0765340540081876E11>
<9.837299282518026E8 1.0766418599877367E11>
<1.044193418102411E8 1.0766781429962485E11>
<-7.748981161477284E8 1.0766428990030043E11>
<-1.6541640285919156E9 1.076536128786304E11>
<-2.533319979443486E9 1.0763578379338301E11>
<-3.412307557597002E9 1.0761080368426653E11>
<-4.2910683609427433E9 1.0757867407189633E11>
<-5.169544000389005E9 1.0753939695772742E11>
<-6.047676103884046E9 1.0749297482395213E11>
<-6.925406320437379E9 1.074394106333633E11>
<-7.802676324140089E9 1.0737870782918266E11>
<-8.679427818183855E9 1.073108703348547E11>
<-9.55560253887837E9 1.0723590255380576E11>
<-1.0431142259666838E10 1.0715380936916847E11>
<-1.130598879513923E10 1.0706459614347176E11>
<-1.2180084005043003E10 1.0696826871829594E11>
<-1.3053369798290922E10 1.0686483341389351E11>
<-1.392578813696573E10 1.0675429702877516E11>
<-1.4797281040321306E10 1.0663666683926137E11>
<-1.5667790588780003E10 1.0651195059899942E11>
<-1.6537258927925875E10 1.0638015653844603E11>
<-1.7405628272493454E10 1.062412933643154E11>
<-1.8272840910351776E10 1.0609537025899301E11>
<-1.9138839206483337E10 1.0594239687991493E11>
<-2.0003565606957664E10 1.0578238335891293E11>
<-2.0866962642899197E10 1.056153403015252E11>
<-2.172897293444917E10 1.0544127878627301E11>
<-2.258953919472116E10 1.0526021036390302E11>
<-2.344860423375004E10 1.0507214705659569E11>
<-2.4306110962433926E10 1.0487710135713953E11>
<-2.5162002396468967E10 1.0467508622807135E11>
<-2.6016221660276505E10 1.0446611510078275E11>
<-2.686871199092239E10 1.0425020187459254E11>
<-2.771941674202814E10 1.0402736091578569E11>
<-2.8568279387673588E10 1.0379760705661829E11>
<-2.9415243526290764E10 1.0356095559428912E11>
<-3.0260252884548683E10 1.0331742228987762E11>
<-3.1103251321228718E10 1.0306702336724838E11>
<-3.194418283109029E10 1.0280977551192232E11>
<-3.278299154872655E10 1.0254569586991463E11>
<-3.3619621752409748E10 1.0227480204653952E11>
<-3.4454017867926E10 1.0199711210518187E11>
<-3.528612447239916E10 1.0171264456603595E11>
<-3.6115886298103455E10 1.0142141840481131E11>
<-3.694324823626465E10 1.011234530514058E11>
<-3.77681553408494E10 1.008187683885461E11>
<-3.859055283234254E10 1.0050738475039554E11>
<-3.941038610151187E10 1.0018932292112964E11>
<-4.0227600713160446E10 9.98646041334793E10>
<-4.104214240986572E10 9.953325006724174E10>
<-4.185395711570553E10 9.919528284775954E10>
<-4.266299093997047E10 9.885072504436755E10>
<-4.346919018086247E10 9.84995996688082E10>
<-4.427250132917924E10 9.814193017361494E10>
<-4.5072871071984215E10 9.777774045046437E10>
<-4.587024629626197E10 9.740705482849673E10>
<-4.6664574092558495E10 9.702989807260536E10>
<-4.7455801758606316E10 9.664629538169489E10>
<-4.824387680293403E10 9.62562723869085E10>
<-4.902874694846004E10 9.585985514982446E10>
<-4.98103601360702E10 9.545707016062189E10>
<-5.0588664528179085E10 9.5047944336216E10>
<-5.136360851227464E10 9.463250501836313E10>
<-5.213514070444592E10 9.42107799717354E10>
<-5.290320995289362E10 9.378279738196542E10>
<-5.366776534142321E10 9.334858585366122E10>
<-5.44287561929203E10 9.290817440839131E10>
<-5.518613207280811E10 9.246159248264029E10>
<-5.593984279248662E10 9.200886992573514E10>
<-5.668983841275325E10 9.15500369977423E10>
<-5.743606924720484E10 9.108512436733566E10>
<-5.8178485865620544E10 9.061416310963591E10>
<-5.891703909732547E10 9.013718470402104E10>
<-5.965168003453484E10 8.965422103190854E10>
<-6.038236003567836E10 8.916530437450922E10>
<-6.110903072870453E10 8.867046741055302E10>
<-6.183164401436478E10 8.816974321398692E10>
<-6.255015206947699E10 8.766316525164508E10>
<-6.326450735016836E10 8.71507673808916E10>
<-6.397466259509719E10 8.66325838472359E10>
<-6.468057082865351E10 8.610864928192097E10>
<-6.53821853641382E10 8.557899869948483E10>
<-6.607945980692041E10 8.504366749529521E10>
<-6.677234805757307E10 8.450269144305777E10>
<-6.74608043149862E10 8.395610669229805E10>
<-6.814478307945789E10 8.340394976581735E10>
<-6.88242391557626E10 8.284625755712277E10>
<-6.949912765619664E10 8.228306732783162E10>
<-7.016940400360063E10 8.171441670505035E10>
<-7.083502393435866E10 8.114034367872844E10>
<-7.14959435013739E10 8.056088659898709E10>
<-7.215211907702063E10 7.997608417342339E10>
<-7.280350735607222E10 7.938597546438977E10>
<-7.345006535860506E10 7.879059988624933E10>
<-7.409175043287816E10 7.818999720260692E10>
<-7.472852025818817E10 7.758420752351654E10>
<-7.536033284769972E10 7.697327130266505E10>
<-7.598714655125072E10 7.635722933453252E10>
<-7.660892005813268E10 7.573612275152946E10>
<-7.722561239984554E10 7.510999302111118E10>
<-7.783718295282712E10 7.447888194286942E10>
<-7.844359144115677E10 7.384283164560167E10>
<-7.904479793923314E10 7.320188458435822E10>
<-7.964076287442592E10 7.255608353746736E10>
<-8.023144702970123E10 7.190547160353886E10>
<-8.081681154622072E10 7.125009219844603E10>
<-8.139681792591382E10 7.058998905228658E10>
<-8.197142803402347E10 6.992520620632257E10>
<-8.254060410162468E10 6.925578800989973E10>
<-8.310430872811607E10 6.858177911734622E10>
<-8.366250488368407E10 6.790322448485135E10>
<-8.421515591173965E10 6.722016936732432E10>
<-8.476222553132755E10 6.6532659315233315E10>
<-8.53036778395075E10 6.584074017142523E10>
<-8.583947731370781E10 6.51444580679262E10>
<-8.636958881405054E10 6.4443859422723305E10>
<-8.689397758564873E10 6.373899093652763E10>
<-8.74126092608751E10 6.302989958951903E10>
<-8.792544986160226E10 6.2316632638072685E10>
<-8.84324658014142E10 6.159923761146801E10>
<-8.893362388778905E10 6.087776230857986E10>
<-8.942889132425288E10 6.015225479455252E10>
<-8.991823571250443E10 5.9422763397456696E10>
<-9.04016250545105E10 5.8689336704929695E10>
<-9.087902775457227E10 5.79520235607992E10>
<-9.13504126213619E10 5.72108730616908E10>
<-9.181574886992969E10 5.64659345536196E10>
<-9.227500612368153E10 5.571725762856616E10>
<-9.272815441632646E10 5.49648921210371E10>
<-9.317516419379437E10 5.420888810461053E10>
<-9.361600631612361E10 5.344929588846669E10>
<-9.405065205931848E10 5.2686166013904045E10>
<-9.447907311717642E10 5.191954925084105E10>
<-9.49012416030849E10 5.1149496594303955E10>
<-9.531713005178777E10 5.037605926090091E10>
<-9.57267114211211E10 4.959928868528255E10>
<-9.612995909371834E10 4.8819236516589485E10>
<-9.652684687868481E10 4.8035954614886894E10>
<-9.691734901324123E10 4.724949504758649E10>
<-9.730144016433636E10 4.645991008585617E10>
<-9.767909543022878E10 4.566725220101767E10>
<-9.805029034203732E10 4.487157406093239E10>
<-9.84150008652606E10 4.407292852637579E10>
<-9.877320340126512E10 4.32713686474006E10>
<-9.912487478874213E10 4.246694765968905E10>
<-9.946999230513315E10 4.165971898089458E10>
<-9.980853366802394E10 4.084973620697311E10>
<-1.0014047703650706E11 4.003705310850429E10>
<-1.0046580101251279E11 3.922172362700299E10>
<-1.0078448464210841E11 3.840380187122126E10>
<-1.0109650741676587E11 3.758334211344111E10>
<-1.0140184927459761E11 3.676039878575833E10>
<-1.0170049060156068E11 3.593502647635773E10>
<-1.0199241223262897E11 3.510727992577995E10>
<-1.0227759545293353E11 3.427721402318027E10>
<-1.0255602199887105E11 3.344488380257957E10>
<-1.0282767405918028E11 3.2610344439107834E10>
<-1.0309253427598651E11 3.1773651245240402E10>
<-1.0335058574581393E11 3.093485966702731E10>
<-1.0360181202056609E11 3.009402528031597E10>
<-1.0384619710847398E11 2.925120378696748E10>
<-1.0408372547501234E11 2.840645101106684E10>
<-1.043143820437835E11 2.755982289512741E10>
<-1.0453815219736919E11 2.67113754962898E10>
<-1.0475502177815025E11 2.5861164982515537E10>
<-1.0496497708909398E11 2.500924762877582E10>
<-1.0516800489450932E11 2.4155679813235558E10>
<-1.0536409242076988E11 2.3300518013433025E10>
<-1.0555322735700467E11 2.2443818802455444E10>
<-1.0573539785575656E11 2.1585638845110718E10>
<-1.0591059253360861E11 2.0726034894095608E10>
